team,played,win_rate,avg_gf,avg_ga
Abkhazia,33,0.45454545454545453,1.6363636363636365,0.7878787878787878
Afghanistan,141,0.24822695035460993,0.9929078014184397,2.0354609929078014
Albania,386,0.27202072538860106,0.9507772020725389,1.5
Alderney,135,0.037037037037037035,0.5407407407407407,4.592592592592593
Algeria,595,0.45714285714285713,1.5210084033613445,1.0100840336134453
Ambazonia,6,0.0,0.5,2.8333333333333335
American Samoa,53,0.07547169811320754,0.5849056603773585,6.528301886792453
Andalusia,13,0.6153846153846154,1.9230769230769231,1.0769230769230769
Andorra,216,0.06018518518518518,0.32407407407407407,2.412037037037037
Angola,404,0.3415841584158416,1.1287128712871286,1.0297029702970297
Anguilla,84,0.05952380952380952,0.5595238095238095,3.9047619047619047
Antigua and Barbuda,227,0.31277533039647576,1.3436123348017621,1.8325991189427313
Arameans Suryoye,10,0.5,1.6,1.2
Argentina,1058,0.5510396975425331,1.892249527410208,1.0132325141776937
Armenia,261,0.24521072796934865,1.0114942528735633,1.7969348659003832
Artsakh,11,0.5454545454545454,2.909090909090909,1.2727272727272727
Aruba,145,0.2,1.289655172413793,2.3793103448275863
Asturias,1,1.0,3.0,1.0
Australia,569,0.507908611599297,2.022847100175747,1.0685413005272408
Austria,849,0.4216725559481743,1.7809187279151943,1.5429917550058894
Aymara,2,0.0,0.5,2.0
Azerbaijan,298,0.19798657718120805,0.7550335570469798,1.667785234899329
Bahamas,61,0.22950819672131148,1.1967213114754098,3.0655737704918034
Bahrain,573,0.35776614310645727,1.24956369982548,1.2862129144851657
Bangladesh,296,0.26013513513513514,0.8918918918918919,1.8344594594594594
Barawa,12,0.25,1.3333333333333333,3.8333333333333335
Barbados,296,0.3141891891891892,1.3006756756756757,1.7331081081081081
Basque Country,63,0.6031746031746031,2.5555555555555554,1.4126984126984128
Belarus,303,0.297029702970297,1.1386138613861385,1.4455445544554455
Belgium,841,0.4447086801426873,1.793103448275862,1.521997621878716
Belize,115,0.25217391304347825,1.0695652173913044,1.9304347826086956
Benin,311,0.2508038585209003,1.0932475884244373,1.7363344051446945
Bermuda,188,0.34574468085106386,1.6702127659574468,1.7180851063829787
Bhutan,104,0.10576923076923077,0.5673076923076923,3.6634615384615383
Biafra,3,0.6666666666666666,0.6666666666666666,0.3333333333333333
Bolivia,519,0.21965317919075145,1.0289017341040463,1.97495183044316
Bonaire,39,0.3333333333333333,1.4615384615384615,2.5128205128205128
Bosnia and Herzegovina,271,0.36900369003690037,1.3505535055350553,1.3874538745387455
Botswana,323,0.2755417956656347,0.8173374613003096,1.263157894736842
Brazil,1047,0.6351480420248329,2.1766953199617958,0.9035339063992359
British Virgin Islands,114,0.15789473684210525,0.8596491228070176,3.0526315789473686
Brittany,12,0.5,1.5,1.25
Brunei,132,0.1590909090909091,0.7954545454545454,3.2803030303030303
Bulgaria,724,0.35773480662983426,1.3784530386740332,1.4848066298342542
Burkina Faso,448,0.34598214285714285,1.2276785714285714,1.3415178571428572
Burundi,211,0.3033175355450237,1.1184834123222749,1.3459715639810426
Cambodia,291,0.21649484536082475,1.1065292096219932,2.6013745704467355
Cameroon,602,0.43853820598006643,1.410299003322259,1.048172757475083
Canada,453,0.37969094922737306,1.2869757174392935,1.3333333333333333
Canary Islands,4,0.75,2.75,0.75
Cape Verde,223,0.37668161434977576,1.0672645739910314,1.1300448430493273
Cascadia,7,0.5714285714285714,3.2857142857142856,2.0
Catalonia,48,0.3958333333333333,1.5625,1.75
Cayman Islands,112,0.20535714285714285,0.9732142857142857,2.4732142857142856
Central African Republic,131,0.20610687022900764,1.0687022900763359,1.8854961832061068
Central Spain,2,0.5,1.0,2.0
Chad,130,0.2,0.8384615384615385,1.7153846153846153
Chagos Islands,16,0.1875,1.75,4.75
Chameria,7,0.42857142857142855,2.0,1.1428571428571428
Chechnya,3,0.0,1.0,9.666666666666666
Chile,824,0.3774271844660194,1.4114077669902914,1.4199029126213591
China,695,0.48345323741007196,1.8388489208633094,1.0964028776978416
Cilento,1,0.0,0.0,2.0
Colombia,626,0.4009584664536741,1.2731629392971247,1.15814696485623
Comoros,134,0.23880597014925373,0.8656716417910447,1.6343283582089552
Congo,403,0.3325062034739454,1.2928039702233252,1.4714640198511166
Cook Islands,53,0.20754716981132076,0.8113207547169812,4.981132075471698
Corsica,9,0.4444444444444444,1.1111111111111112,0.5555555555555556
Costa Rica,708,0.4392655367231638,1.7076271186440677,1.1751412429378532
County of Nice,9,0.6666666666666666,2.111111111111111,1.4444444444444444
Crimea,5,0.6,1.4,2.2
Croatia,384,0.5208333333333334,1.7109375,1.0130208333333333
Cuba,388,0.35051546391752575,1.3453608247422681,1.5206185567010309
Curaçao,370,0.37027027027027026,1.635135135135135,1.5945945945945945
Cyprus,414,0.19082125603864733,0.8623188405797102,2.1932367149758454
Czech Republic,348,0.5316091954022989,1.7758620689655173,1.0172413793103448
Czechoslovakia,520,0.45384615384615384,1.8923076923076922,1.3865384615384615
DR Congo,508,0.3858267716535433,1.4881889763779528,1.2145669291338583
Darfur,7,0.0,0.14285714285714285,14.142857142857142
Denmark,862,0.4582366589327146,1.8051044083526682,1.3480278422273781
Djibouti,106,0.0660377358490566,0.6886792452830188,3.650943396226415
Dominica,209,0.24401913875598086,1.167464114832536,2.028708133971292
Dominican Republic,147,0.40816326530612246,1.6938775510204083,1.5918367346938775
Donetsk PR,6,0.3333333333333333,1.3333333333333333,1.1666666666666667
Délvidék,2,0.5,2.0,1.5
East Turkestan,2,0.5,4.0,2.5
Ecuador,579,0.30915371329879104,1.217616580310881,1.5509499136442142
Egypt,736,0.5027173913043478,1.6317934782608696,1.0203804347826086
El Salvador,598,0.3294314381270903,1.2642140468227425,1.5267558528428093
Elba Island,2,1.0,4.5,1.0
Ellan Vannin,22,0.5,2.4545454545454546,1.4545454545454546
England,1078,0.5714285714285714,2.184601113172542,0.961038961038961
Equatorial Guinea,166,0.28313253012048195,0.8795180722891566,1.4578313253012047
Eritrea,71,0.15492957746478872,0.676056338028169,1.704225352112676
Estonia,538,0.24721189591078066,0.9907063197026023,1.7695167286245352
Eswatini,270,0.2037037037037037,0.8481481481481481,1.6481481481481481
Ethiopia,403,0.3523573200992556,1.3523573200992556,1.456575682382134
Falkland Islands,33,0.18181818181818182,0.9393939393939394,3.6666666666666665
Faroe Islands,276,0.18115942028985507,0.8188405797101449,2.300724637681159
Felvidék,12,0.4166666666666667,1.1666666666666667,1.6666666666666667
Fiji,263,0.44106463878326996,2.307984790874525,1.6045627376425855
Finland,806,0.2630272952853598,1.1749379652605458,2.053349875930521
France,923,0.5070422535211268,1.8244853737811484,1.294691224268689
Franconia,3,0.6666666666666666,2.6666666666666665,3.6666666666666665
French Guiana,179,0.3016759776536313,1.4916201117318435,1.7094972067039107
Frøya,33,0.21212121212121213,1.7878787878787878,3.757575757575758
